id,image_id,area,category_id,video_id,track_id,bbox_x,bbox_y,bbox_w,bbox_h
85,14,43510,2,0,2,1669,691,229,190
86,14,35640,1,0,3,1470,655,135,264
87,14,21735,2,0,4,3476,329,207,105
88,14,35028,2,0,5,2992,175,278,126
89,15,70152,2,0,0,1663,1692,222,316
90,15,65046,2,0,1,1431,1146,293,222
91,15,45540,2,0,2,1661,720,230,198
92,15,35904,1,0,3,1460,685,136,264
93,15,22154,2,0,4,3483,350,209,106
94,15,35433,2,0,5,2998,192,279,127
95,16,78720,2,0,0,1637,1744,240,328
96,16,70152,2,0,1,1422,1181,296,237
97,16,47355,2,0,2,1653,749,231,205
98,16,36168,1,0,3,1450,714,137,264
99,16,22788,2,0,4,3490,371,211,108
100,16,35840,2,0,5,3004,210,280,128
101,17,87462,2,0,0,1611,1796,258,339
102,17,72657,2,0,1,1413,1219,299,243
103,17,49629,2,0,2,1645,777,233,213
104,17,36294,1,0,3,1440,744,138,263
105,17,23320,2,0,4,3500,398,212,110
106,17,36790,2,0,5,3011,234,283,130
107,18,81744,2,0,0,1599,1847,262,312
108,18,74648,2,0,1,1404,1256,301,248
109,18,51714,2,0,2,1637,806,234,221
110,18,36820,1,0,3,1431,773,140,263
111,18,23744,2,0,4,3510,426,212,112
112,18,37752,2,0,5,3018,257,286,132
113,19,64416,2,0,0,1586,1916,264,244
114,19,77216,2,0,1,1395,1294,304,254
115,19,49704,2,0,2,1638,843,228,218
116,19,36942,1,0,3,1421,803,141,262
117,19,24282,2,0,4,3521,453,213,114
118,19,38726,2,0,5,3025,281,289,134
119,20,46550,2,0,0,1572,1984,266,175
120,20,77924,2,0,1,1381,1343,308,253
121,20,47736,2,0,2,1639,880,221,216
122,20,37204,1,0,3,1411,832,142,262
123,20,24824,2,0,4,3531,480,214,116
124,20,39712,2,0,5,3032,305,292,136
125,21,20330,2,0,0,1637,2052,190,107
126,21,78876,2,0,1,1367,1392,313,252
127,21,45795,2,0,2,1639,916,215,213
128,21,38442,1,0,3,1400,870,149,258
129,21,25252,2,0,4,3541,508,214,118
130,21,40710,2,0,5,3039,328,295,138
131,22,79884,2,0,1,1353,1442,317,252
132,22,43888,2,0,2,1640,953,208,211
133,22,39624,1,0,3,1389,908,156,254
134,22,25800,2,0,4,3551,535,215,120
135,22,41422,2,0,5,3046,352,298,139
136,22,19866,2,0,6,2893,0,258,77
137,23,80822,2,0,1,1339,1491,322,251
138,23,42016,2,0,2,1641,990,202,208
139,23,40750,1,0,3,1378,946,163,250
140,23,25823,2,0,4,3564,568,217,119
141,23,42441,2,0,5,3053,375,301,141
142,23,25088,2,0,6,2899,1,256,98
143,24,81500,2,0,1,1325,1540,326,250
144,24,42840,2,0,2,1632,1031,204,210
145,24,44710,1,0,3,1367,984,170,263
146,24,26180,2,0,4,3577,600,220,119
147,24,43472,2,0,5,3060,399,304,143
148,24,29972,2,0,6,2911,1,254,118
149,25,84150,2,0,1,1310,1597,330,255
150,25,43672,2,0,2,1629,1071,206,212
151,25,49128,1,0,3,1356,1022,178,276
152,25,26196,2,0,4,3590,633,222,118
153,25,44515,2,0,5,3067,423,307,145
154,25,30583,2,0,6,2916,21,257,119
155,26,86580,2,0,1,1296,1653,333,260
156,26,44512,2,0,2,1615,1112,208,214
157,26,53280,1,0,3,1344,1059,185,288
158,26,26208,2,0,4,3603,665,224,117
159,26,45570,2,0,5,3074,446,310,147
160,26,31460,2,0,6,2921,42,260,121
161,27,89305,2,0,1,1281,1710,337,265
162,27,45570,2,0,2,1607,1152,210,217
163,27,57792,1,0,3,1333,1097,192,301
164,27,26299,2,0,4,3615,700,221,119
165,27,46637,2,0,5,3081,470,313,149
166,27,32086,2,0,6,2926,62,263,122
167,28,91729,2,0,1,1266,1766,341,269
168,28,46428,2,0,2,1598,1193,212,219
169,28,60528,1,0,3,1324,1141,194,312
170,28,25652,2,0,4,3627,735,212,121
171,28,49926,2,0,5,3090,498,318,157
172,28,32841,2,0,6,2930,82,267,123
173,29,94256,2,0,1,1252,1823,344,274
174,29,47294,2,0,2,1590,1233,214,221
175,29,62790,1,0,3,1314,1185,195,322
176,29,24644,2,0,4,3638,770,202,122
177,29,53618,2,0,5,3098,526,323,166
178,29,33480,2,0,6,2935,102,270,124
179,30,97092,2,0,1,1237,1879,348,279
180,30,48168,2,0,2,1581,1274,216,223
181,30,65601,1,0,3,1305,1229,197,333
182,30,23560,2,0,4,3650,805,190,124
183,30,57072,2,0,5,3107,554,328,174
184,30,34398,2,0,6,2940,123,273,126
185,31,75180,2,0,1,1213,1949,358,210
186,31,50850,2,0,2,1565,1332,225,226
187,31,68257,1,0,3,1295,1274,199,343
188,31,22554,2,0,4,3661,840,179,126
189,31,58608,2,0,5,3116,589,333,176
190,31,35052,2,0,6,2945,143,276,127
191,32,49000,2,0,1,1217,2019,350,140
192,32,53580,2,0,2,1549,1390,235,228
193,32,71154,1,0,3,1286,1318,201,354
194,32,20125,2,0,4,3679,884,161,125
195,32,59826,2,0,5,3124,623,338,177
196,32,35712,2,0,6,2951,168,279,128
197,33,56364,2,0,2,1533,1448,244,231
198,33,73528,1,0,3,1276,1362,202,364
199,33,17732,2,0,4,3697,928,143,124
200,33,61397,2,0,5,3133,658,343,179
201,33,36096,2,0,6,2957,193,282,128
202,34,58949,2,0,2,1517,1506,253,233
203,34,76500,1,0,3,1267,1406,204,375
204,34,15250,2,0,4,3715,971,125,122
205,34,62988,2,0,5,3141,692,348,181
206,34,36765,2,0,6,2962,218,285,129
207,35,62068,2,0,2,1501,1564,263,236
208,35,78660,1,0,3,1244,1459,207,380
209,35,12947,2,0,4,3733,1015,107,121
210,35,64246,2,0,5,3150,727,353,182
211,35,37152,2,0,6,2968,243,288,129
212,36,64736,2,0,2,1485,1622,272,238
213,36,80850,1,0,3,1221,1512,210,385
214,36,10680,2,0,4,3751,1059,89,120
215,36,65872,2,0,5,3158,761,358,184
216,36,37830,2,0,6,2974,267,291,130
217,37,67977,2,0,2,1474,1686,273,249
218,37,83070,1,0,3,1198,1565,213,390
219,37,68255,2,0,5,3171,801,365,187
220,37,38220,2,0,6,2980,292,294,130
221,38,71253,2,0,2,1463,1749,273,261
222,38,85320,1,0,3,1175,1618,216,395
223,38,70490,2,0,5,3184,842,371,190
224,38,38907,2,0,6,2985,317,297,131
225,39,74528,2,0,2,1452,1813,274,272
226,39,87600,1,0,3,1152,1671,219,400
227,39,72954,2,0,5,3196,882,378,193
228,39,39300,2,0,6,2991,342,300,131
229,40,77542,2,0,2,1441,1876,274,283
230,40,89910,1,0,3,1129,1724,222,405
231,40,75264,2,0,5,3209,922,384,196
232,40,40086,2,0,6,2998,375,306,131
233,41,49088,2,0,2,1465,1951,236,208
234,41,74919,1,0,3,1107,1806,221,339
235,41,80975,2,0,5,3223,968,395,205
236,41,40741,2,0,6,3005,408,311,131
237,42,31488,2,0,2,1445,2031,246,128
238,42,59840,1,0,3,1085,1887,220,272
239,42,86691,2,0,5,3236,1014,407,213
240,42,41527,2,0,6,3012,441,317,131
241,43,43470,1,0,3,1063,1970,230,189
242,43,92796,2,0,5,3250,1060,418,222
243,43,42182,2,0,6,3018,473,322,131
244,44,99330,2,0,5,3263,1107,430,231
245,44,42968,2,0,6,3025,506,328,131
246,45,105840,2,0,5,3277,1153,441,240
247,45,43623,2,0,6,3032,539,333,131
248,46,112344,2,0,5,3290,1199,453,248
249,46,44409,2,0,6,3039,572,339,131
250,47,119248,2,0,5,3304,1245,464,257
251,47,45276,2,0,6,3049,612,343,132
252,48,127296,2,0,5,3325,1298,468,272
253,48,46151,2,0,6,3060,652,347,133
254,49,135177,2,0,5,3346,1350,471,287
255,49,47168,2,0,6,3070,693,352,134
256,50,145500,2,0,5,3355,1407,485,300
257,50,47704,2,0,6,3080,733,356,134
258,51,142140,2,0,5,3380,1471,460,309
259,51,48600,2,0,6,3091,773,360,135
260,52,137895,2,0,5,3405,1535,435,317
261,52,49504,2,0,6,3101,813,364,136
262,53,133334,2,0,5,3430,1599,409,326
263,53,52540,2,0,6,3114,862,370,142
264,54,130854,2,0,5,3454,1672,386,339
265,54,55648,2,0,6,3128,911,376,148
266,55,127413,2,0,5,3477,1745,363,351
267,55,58828,2,0,6,3141,960,382,154
268,56,115938,2,0,5,3501,1818,339,342
269,56,62080,2,0,6,3154,1009,388,160
270,57,65238,2,0,6,3167,1057,393,166
271,58,68628,2,0,6,3181,1106,399,172
272,59,72090,2,0,6,3194,1155,405,178
273,60,75624,2,0,6,3207,1204,411,184
274,61,81253,2,0,6,3223,1270,421,193
275,62,86860,2,0,6,3240,1335,430,202
276,63,93280,2,0,6,3256,1401,440,212
277,64,99229,2,0,6,3272,1467,449,221
278,65,105570,2,0,6,3289,1532,459,230
279,66,111852,2,0,6,3305,1598,468,239
280,67,120708,2,0,6,3325,1677,479,252
281,68,129850,2,0,6,3345,1755,490,265
282,69,128183,2,0,6,3365,1835,473,271
283,70,103488,2,0,6,3391,1929,448,231
284,71,48786,2,0,6,3407,2018,346,141
285,72,38394,2,0,6,0,1285,162,237
286,73,50094,2,0,6,0,1273,198,253
287,74,62946,2,0,6,0,1260,234,269
288,75,76950,2,0,6,0,1248,270,285
289,76,92412,2,0,6,0,1236,306,302
290,77,108756,2,0,6,0,1223,342,318
291,78,126252,2,0,6,0,1211,378,334
292,79,144900,2,0,6,0,1198,414,350
293,80,164700,2,0,6,0,1186,450,366
294,80,12744,2,0,7,0,259,118,108
295,81,166336,2,0,6,6,1182,452,368
296,81,16510,2,0,7,0,255,127,130
297,82,167895,2,0,6,13,1178,455,369
298,82,20655,2,0,7,0,251,135,153
299,83,169547,2,0,6,19,1174,457,371
300,83,25200,2,0,7,0,247,144,175
301,84,171120,2,0,6,26,1170,460,372
302,84,26196,2,0,7,0,247,148,177
303,85,172788,2,0,6,32,1166,462,374
304,85,27360,2,0,7,0,246,152,180
305,86,171580,2,0,6,39,1163,460,373
306,86,28392,2,0,7,0,246,156,182
307,87,170748,2,0,6,47,1161,459,372
308,87,29440,2,0,7,0,245,160,184
309,88,169547,2,0,6,54,1158,457,371
310,88,30668,2,0,7,0,245,164,187
311,89,168350,2,0,6,61,1156,455,370
312,89,31752,2,0,7,0,244,168,189
313,90,166704,2,0,6,68,1153,453,368
314,90,33735,2,0,7,0,243,173,195
315,91,165884,2,0,6,76,1150,452,367
316,91,35979,2,0,7,0,241,179,201
317,92,164700,2,0,6,83,1148,450,366
318,92,38088,2,0,7,0,240,184,207
319,93,163520,2,0,6,90,1145,448,365
320,93,40257,2,0,7,0,238,189,213
321,94,157960,2,0,6,163,1119,440,359
322,94,56404,2,0,7,11,222,236,239
323,95,152496,2,0,6,235,1093,432,353
324,95,54756,2,0,7,100,198,234,234
325,96,151639,2,0,6,315,1060,437,347
326,96,52668,2,0,7,211,173,231,228
327,97,151063,2,0,6,396,1027,443,341
328,97,50838,2,0,7,322,149,229,222
329,97,42636,2,0,8,0,217,228,187
330,98,149632,2,0,6,476,994,448,334
331,98,48590,2,0,7,432,124,226,215
332,98,43621,2,0,8,110,188,241,181
333,99,148584,2,0,6,556,961,453,328
334,99,46607,2,0,7,543,99,223,209
335,99,44370,2,0,8,220,159,255,174
336,99,32760,2,0,9,0,374,234,140
337,100,141884,2,0,6,640,943,449,316
338,100,44622,2,0,7,649,83,222,201
339,100,45024,2,0,8,330,130,268,168
340,100,58464,2,0,9,0,343,336,174
341,101,134835,2,0,6,725,924,445,303
342,101,42653,2,0,7,754,68,221,193
343,101,51142,2,0,8,433,104,281,182
344,101,78260,2,0,9,20,315,430,182
345,102,128040,2,0,6,809,906,440,291
346,102,41106,2,0,7,858,52,221,186
347,102,57135,2,0,8,537,79,293,195
348,102,74448,2,0,9,119,293,423,176
349,103,121208,2,0,6,893,887,436,278
350,103,39160,2,0,7,963,37,220,178
351,103,63954,2,0,8,640,53,306,209
352,103,70720,2,0,9,218,272,416,170
353,104,115670,2,0,6,963,877,430,269
354,104,40406,2,0,7,1048,25,227,178
355,104,63778,2,0,8,743,27,286,223
356,104,67320,2,0,9,316,250,408,165
357,105,109980,2,0,6,1032,866,423,260
358,105,41474,2,0,7,1132,13,233,178
359,105,62331,2,0,8,846,1,263,237
360,105,63759,2,0,9,415,229,401,159
361,106,111756,2,0,6,1080,856,417,268
362,106,40391,2,0,7,1178,9,239,169
363,106,63840,2,0,8,876,1,280,228
364,106,60282,2,0,9,514,207,394,153
365,107,108650,2,0,6,1105,857,410,265
366,107,39200,2,0,7,1223,5,245,160
367,107,55845,2,0,8,906,1,255,219
368,107,62465,2,0,9,522,204,403,155
369,108,108915,2,0,6,1108,855,411,265
370,108,38936,2,0,7,1222,5,248,157
371,108,47861,2,0,8,935,0,229,209
372,108,64116,2,0,9,531,201,411,156
373,109,109326,2,0,6,1111,852,411,266
374,109,38750,2,0,7,1222,4,250,155
375,109,40800,2,0,8,965,0,204,200
376,109,66360,2,0,9,539,198,420,158
377,110,109592,2,0,6,1114,850,412,266
378,110,38456,2,0,7,1221,4,253,152
379,110,40352,2,0,8,956,0,208,194
380,110,64841,2,0,9,547,197,413,157
381,111,109592,2,0,6,1117,848,412,266
382,111,38250,2,0,7,1221,4,255,150
383,111,39644,2,0,8,946,0,212,187
384,111,63336,2,0,9,556,197,406,156
385,112,109858,2,0,6,1120,845,413,266
386,112,37926,2,0,7,1220,3,258,147
387,112,39277,2,0,8,937,0,217,181
388,112,61845,2,0,9,564,196,399,155
389,113,110271,2,0,6,1123,843,413,267
390,113,37700,2,0,7,1220,3,260,145
391,113,38675,2,0,8,927,0,221,175
392,113,61776,2,0,9,568,194,396,156
393,114,110538,2,0,6,1126,840,414,267
394,114,37346,2,0,7,1219,2,263,142
395,114,37800,2,0,8,918,0,225,168
396,114,61936,2,0,9,571,193,392,158
397,115,110538,2,0,6,1129,838,414,267
398,115,37100,2,0,7,1219,2,265,140
399,115,37098,2,0,8,908,0,229,162
400,115,61851,2,0,9,575,191,389,159
401,116,110271,2,0,6,1132,836,413,267
402,116,36716,2,0,7,1218,2,268,137
403,116,38868,2,0,8,901,0,237,164
404,116,61760,2,0,9,579,189,386,160
405,117,110684,2,0,6,1135,834,413,268
406,117,36450,2,0,7,1218,1,270,135
407,117,40504,2,0,8,894,0,244,166
408,117,61502,2,0,9,582,187,382,161
409,118,110416,2,0,6,1138,832,412,268
410,118,36036,2,0,7,1217,1,273,132
411,118,42084,2,0,8,888,0,252,167
412,118,61777,2,0,9,586,186,379,163
413,119,110559,2,0,6,1141,830,411,269
414,119,35777,2,0,7,1222,1,269,133
415,119,43771,2,0,8,881,0,259,169
416,119,61664,2,0,9,590,184,376,164
417,120,110559,2,0,6,1145,827,411,269
418,120,35245,2,0,7,1228,1,265,133
419,120,45657,2,0,8,874,0,267,171
420,120,61380,2,0,9,593,182,372,165
421,121,110700,2,0,6,1148,825,410,270
422,121,34974,2,0,7,1233,1,261,134
423,121,44688,2,0,8,873,0,266,168
424,121,61254,2,0,9,597,180,369,166
425,122,110430,2,0,6,1151,823,409,270
426,122,34695,2,0,7,1238,1,257,135
427,122,43460,2,0,8,872,0,265,164
428,122,61488,2,0,9,601,179,366,168
429,123,110839,2,0,6,1154,821,409,271
430,123,34020,2,0,7,1243,0,252,135
431,123,42343,2,0,8,870,0,263,161
432,123,61178,2,0,9,604,177,362,169
433,124,110568,2,0,6,1157,819,408,271
434,124,33728,2,0,7,1249,0,248,136
435,124,41134,2,0,8,869,0,262,157
436,124,61030,2,0,9,608,175,359,170
437,125,109890,2,0,6,1159,819,407,270
438,125,33184,2,0,7,1254,0,244,136
439,125,40194,2,0,8,868,0,261,154
440,125,60671,2,0,9,609,176,359,169
441,126,109214,2,0,6,1161,820,406,269
442,126,32880,2,0,7,1259,0,240,137
443,126,37101,2,0,8,877,0,249,149
444,126,60144,2,0,9,610,177,358,168
445,127,108540,2,0,6,1164,820,405,268
446,127,32805,2,0,7,1256,0,243,135
447,127,33984,2,0,8,885,0,236,144
448,127,59786,2,0,9,611,178,358,167
449,128,107868,2,0,6,1166,820,404,267
450,128,32585,2,0,7,1253,0,245,133
451,128,31136,2,0,8,894,0,224,139
452,128,59428,2,0,9,612,179,358,166
453,129,107198,2,0,6,1168,821,403,266
454,129,32488,2,0,7,1250,0,248,131
455,129,28620,2,0,8,902,0,212,135
456,129,58905,2,0,9,613,180,357,165
457,130,107198,2,0,6,1170,821,403,266
458,130,32128,2,0,7,1248,0,251,128
459,130,26000,2,0,8,911,0,200,130
460,130,58548,2,0,9,614,181,357,164
461,131,106530,2,0,6,1172,822,402,265
462,131,32004,2,0,7,1245,0,254,126
463,131,23375,2,0,8,919,0,187,125
464,131,58680,2,0,9,613,181,360,163
465,132,105864,2,0,6,1174,822,401,264
466,132,31744,2,0,7,1242,0,256,124
467,132,21000,2,0,8,928,0,175,120
468,132,59006,2,0,9,612,181,362,163
469,133,105200,2,0,6,1177,822,400,263
470,133,31598,2,0,7,1239,0,259,122
471,133,18421,2,0,8,927,0,169,109
472,133,59130,2,0,9,611,182,365,162
473,134,104538,2,0,6,1179,823,399,262
474,134,31598,2,0,7,1239,0,259,122
475,134,16137,2,0,8,925,0,163,99
476,134,59248,2,0,9,610,182,368,161
477,135,103878,2,0,6,1181,823,398,261
478,135,31734,2,0,7,1238,0,258,123
479,135,13816,2,0,8,924,0,157,88
480,135,59570,2,0,9,609,182,370,161
481,136,104276,2,0,6,1181,822,398,262
482,136,31734,2,0,7,1238,0,258,123
483,136,13416,2,0,8,923,0,156,86
484,136,59680,2,0,9,608,182,373,160
485,137,104674,2,0,6,1181,820,398,263
486,137,31734,2,0,7,1238,0,258,123
487,137,13020,2,0,8,922,0,155,84
488,137,60102,2,0,9,609,180,371,162
489,138,105072,2,0,6,1182,819,398,264
490,138,31868,2,0,7,1237,0,257,124
491,138,12699,2,0,8,920,0,153,83
492,138,60516,2,0,9,610,178,369,164
493,139,105470,2,0,6,1182,817,398,265
494,139,31868,2,0,7,1237,0,257,124
495,139,12312,2,0,8,919,0,152,81
496,139,60922,2,0,9,611,177,367,166
497,140,105868,2,0,6,1182,816,398,266
498,140,31750,2,0,7,1240,0,254,125
499,140,11929,2,0,8,918,0,151,79
500,140,61320,2,0,9,612,175,365,168
501,141,106266,2,0,6,1182,815,398,267
502,141,31500,2,0,7,1243,0,250,126
503,141,62073,2,0,9,612,173,363,171
504,142,106664,2,0,6,1182,813,398,268
505,142,31369,2,0,7,1247,0,247,127
506,142,62453,2,0,9,613,171,361,173
507,143,107062,2,0,6,1183,812,398,269
508,143,31104,2,0,7,1250,0,243,128
509,143,62825,2,0,9,614,170,359,175
510,144,107460,2,0,6,1183,810,398,270
511,144,30960,2,0,7,1253,0,240,129
512,144,63189,2,0,9,615,168,357,177
513,145,107858,2,0,6,1183,809,398,271
514,145,31476,2,0,7,1249,0,244,129
515,145,63545,2,0,9,616,166,355,179
516,146,108400,2,0,6,1181,815,400,271
517,146,31992,2,0,7,1246,0,248,129
518,146,63189,2,0,9,615,170,357,177
519,147,109344,2,0,6,1179,821,402,272
520,147,32630,2,0,7,1242,0,251,130
521,147,63008,2,0,9,614,175,358,176
522,148,109888,2,0,6,1176,826,404,272
523,148,33150,2,0,7,1239,0,255,130
524,148,62640,2,0,9,613,179,360,174
525,149,110432,2,0,6,1174,832,406,272
526,149,33670,2,0,7,1235,0,259,130
527,149,62626,2,0,9,611,183,362,173
528,150,110976,2,0,6,1172,838,408,272
529,150,33930,2,0,7,1232,3,261,130
530,150,62244,2,0,9,610,187,364,171
531,151,111930,2,0,6,1170,844,410,273
532,151,34190,2,0,7,1230,7,263,130
533,151,62050,2,0,9,609,192,365,170
534,152,112476,2,0,6,1167,849,412,273
535,152,34715,2,0,7,1227,10,265,131
536,152,61656,2,0,9,608,196,367,168
537,153,113022,2,0,6,1165,855,414,273
538,153,34977,2,0,7,1224,13,267,131
539,153,61656,2,0,9,607,202,367,168
540,154,115506,2,0,6,1163,865,414,279
541,154,35239,2,0,7,1222,17,269,131
542,154,30843,2,0,10,920,0,207,149
543,154,61289,2,0,9,606,209,367,167
544,155,117292,2,0,6,1162,876,413,284
545,155,35501,2,0,7,1219,20,271,131
546,155,31616,2,0,10,908,0,208,152
547,155,61289,2,0,9,605,215,367,167
548,156,119770,2,0,6,1160,886,413,290
549,156,35346,2,0,7,1217,28,274,129
550,156,32240,2,0,10,896,0,208,155
551,156,60922,2,0,9,603,222,367,166
552,157,121540,2,0,6,1159,897,412,295
553,157,34902,2,0,7,1214,35,277,126
554,157,33022,2,0,10,884,0,209,158
555,157,60922,2,0,9,602,228,367,166
556,158,124012,2,0,6,1157,907,412,301
557,158,34844,2,0,7,1212,43,281,124
558,158,33858,2,0,10,872,0,209,162
559,158,60555,2,0,9,601,235,367,165
560,159,126072,2,0,6,1155,917,412,306
561,159,34364,2,0,7,1209,51,284,121
562,159,34650,2,0,10,860,0,210,165
563,159,60555,2,0,9,600,241,367,165
564,160,128232,2,0,6,1154,928,411,312
565,160,34153,2,0,7,1207,58,287,119
566,160,35280,2,0,10,848,0,210,168
567,160,63124,2,0,9,597,251,367,172
568,161,130287,2,0,6,1152,938,411,317
569,161,33640,2,0,7,1204,66,290,116
570,161,36081,2,0,10,836,0,211,171
571,161,65693,2,0,9,595,261,367,179
572,162,132430,2,0,6,1151,949,410,323
573,162,33408,2,0,7,1204,78,288,116
574,162,39420,2,0,10,820,0,219,180
575,162,67895,2,0,9,592,270,367,185
576,163,134480,2,0,6,1149,959,410,328
577,163,33176,2,0,7,1204,89,286,116
578,163,42676,2,0,10,805,0,227,188
579,163,70656,2,0,9,589,280,368,192
580,164,136703,2,0,6,1144,979,413,331
581,164,32944,2,0,7,1204,101,284,116
582,164,46295,2,0,10,789,0,235,197
583,164,73232,2,0,9,586,290,368,199
584,165,138944,2,0,6,1139,999,416,334
585,165,32712,2,0,7,1204,113,282,116
586,165,50058,2,0,10,776,0,243,206
587,165,75808,2,0,9,584,300,368,206
588,166,141540,2,0,6,1134,1019,420,337
589,166,32480,2,0,7,1204,124,280,116
590,166,53714,2,0,10,763,4,251,214
591,166,78016,2,0,9,581,309,368,212
592,167,143820,2,0,6,1129,1039,423,340
593,167,32248,2,0,7,1204,136,278,116
594,167,57757,2,0,10,750,11,259,223
595,167,80592,2,0,9,578,319,368,219
596,168,146118,2,0,6,1124,1059,426,343
597,168,32016,2,0,7,1204,147,276,116
598,168,58426,2,0,10,744,17,262,223
599,168,79352,2,0,9,572,331,364,218
600,169,148434,2,0,6,1119,1078,429,346
601,169,31784,2,0,7,1204,159,274,116
602,169,59095,2,0,10,737,24,265,223
603,169,77760,2,0,9,566,344,360,216
604,170,150768,2,0,6,1114,1098,432,349
605,170,32409,2,0,7,1199,167,277,117
606,170,59541,2,0,10,731,30,267,223
607,170,76540,2,0,9,559,356,356,215
608,171,153472,2,0,6,1109,1118,436,352
609,171,33040,2,0,7,1194,174,280,118
610,171,60210,2,0,10,724,37,270,223
611,171,75328,2,0,9,553,368,352,214
612,172,155845,2,0,6,1104,1138,439,355
613,172,33677,2,0,7,1189,182,283,119
614,172,60879,2,0,10,718,43,273,223
615,172,73776,2,0,9,547,380,348,212
616,173,158236,2,0,6,1099,1158,442,358
617,173,34320,2,0,7,1184,190,286,120
618,173,57276,2,0,10,721,46,258,222
619,173,72584,2,0,9,541,393,344,211
620,174,154791,2,0,6,1099,1174,441,351
621,174,34848,2,0,7,1178,197,288,121
622,174,53703,2,0,10,724,50,243,221
623,174,71060,2,0,9,534,405,340,209
624,174,8560,1,0,11,2997,0,80,107
625,175,158918,2,0,6,1097,1192,439,362
626,175,35502,2,0,7,1173,205,291,122
627,175,49932,2,0,10,728,53,228,219
628,175,69888,2,0,9,528,417,336,208
629,175,8424,1,0,11,3001,1,78,108
630,176,159432,2,0,6,1089,1200,438,364
631,176,36162,2,0,7,1168,212,294,123
632,176,46434,2,0,10,731,57,213,218
633,176,65728,2,0,9,527,420,316,208
